posting_item_id,posting_id,order_id,pickup_point_id,fulfilment_channel,handover_date,event_type,record_status,item_value,item_commission
R00005113,O0001329-B1,O0001329,P00249,warehouse,2026-03-03,handover_return,final,-1.29,-0.071
I00218645,O0057646-B1,O0057646,P00261,retail,2026-02-11,handover,final,8.77,0.4824
I00058441,O0015401-B1,O0015401,P00615,warehouse,2026-02-09,handover,final,2.19,0.1204
I00197029,O0051969-B1,O0051969,P00743,warehouse,2026-02-04,handover,final,0.99,0.0544
I00154916,O0040873-B1,O0040873,P00615,retail,2026-02-21,handover,final,3.6,0.198
I00035223,O0009325-B2,O0009325,P00642,warehouse,2026-02-17,handover,final,1.1,0.0605
I00140700,O0037095-B1,O0037095,P00161,warehouse,2026-02-15,handover,final,3.74,0.2057
I00108117,O0028412-B2,O0028412,P00144,warehouse,2026-02-15,handover,final,0.99,0.0544
I00106600,O0028009-B1,O0028009,P00523,warehouse,2026-02-18,handover,final,0.99,0.0544
I00055314,O0014579-B1,O0014579,P00517,warehouse,2026-02-24,handover,final,4.72,0.2596
I00144173,O0037991-B1,O0037991,P00810,warehouse,2026-02-24,handover,final,0.99,0.0544
I00088391,O0023264-B1,O0023264,P00437,warehouse,2026-02-28,handover,final,5.81,0.3196
I00079583,O0020988-B1,O0020988,P00635,warehouse,2026-02-02,handover,final,0.99,0.0544
I00012897,O0003385-B1,O0003385,P00393,warehouse,2026-02-21,handover,final,0.99,0.0544
I00065161,O0017151-B1,O0017151,P00175,warehouse,2026-02-04,handover,final,1.04,0.0572
I00168403,O0044390-B1,O0044390,P00776,warehouse,2026-02-24,handover,final,4.13,0.2272
I00201097,O0053036-B1,O0053036,P00160,warehouse,2026-02-13,handover,final,0.99,0.0544
I00170080,O0044856-B1,O0044856,P00198,warehouse,2026-02-07,handover,final,6.15,0.3382
I00093978,O0024729-B1,O0024729,P00487,warehouse,2026-02-15,handover,final,5.74,0.3157
I00197402,O0052059-B1,O0052059,P00817,warehouse,2026-02-21,handover,final,2.69,0.148
R00056658,O0014936-B1,O0014936,P00382,warehouse,2026-02-23,handover_return,final,-2.48,-0.1364
I00144930,O0038185-B2,O0038185,P00094,warehouse,2026-03-01,handover,final,3.87,0.2128
I00009851,O0002595-B1,O0002595,P00402,warehouse,2026-02-23,handover,final,4.27,0.2348
I00058052,O0015304-B1,O0015304,P00082,warehouse,2026-02-16,handover,final,1.55,0.0853
I00172561,O0045525-B1,O0045525,P00286,warehouse,2026-02-08,handover,final,0.99,0.0544
I00094183,O0024783-B1,O0024783,P00164,warehouse,2026-02-20,handover,final,40.92,2.2506
C00027273,O0007205-B1,O0007205,P00322,warehouse,2026-02-09,handover,corrected,2.93,0.1612
I00108450,O0028500-B2,O0028500,P00052,warehouse,2026-02-06,handover,final,0.99,0.0544
I00029890,O0007896-B1,O0007896,P00479,warehouse,2026-02-22,handover,final,0.99,0.0544
R00043192,O0011387-B1,O0011387,P00315,merchant_shipped,2026-02-10,handover_return,final,-2.69,-0.148
I00160167,O0042248-B1,O0042248,P00684,warehouse,2026-02-02,handover,final,5.12,0.2816
I00025854,O0006841-B1,O0006841,P00849,warehouse,2026-02-07,handover,final,24.78,1.3629
I00184395,O0048636-B1,O0048636,P00400,warehouse,2026-02-17,handover,final,0.99,0.0544
I00120877,O0031811-B1,O0031811,P00769,warehouse,2026-02-26,handover,final,1.54,0.0847
I00208490,O0054952-B3,O0054952,P00539,warehouse,2026-02-04,handover,final,2.85,0.1568
I00046170,O0012177-B1,O0012177,P00762,warehouse,2026-02-27,handover,final,2.99,0.1645
I00126229,O0033214-B1,O0033214,P00290,retail,2026-02-21,handover,final,6.08,0.3344
I00131427,O0034600-B1,O0034600,P00651,warehouse,2026-02-28,handover,final,1.91,0.105
I00035602,O0009427-B1,O0009427,P00092,warehouse,2026-02-12,handover,final,8.85,0.4868
I00150016,O0039581-B1,O0039581,P00712,warehouse,2026-02-21,handover,final,0.99,0.0544
I00022285,O0005898-B1,O0005898,P00528,warehouse,2026-02-21,handover,final,6.81,0.3746
I00007318,O0001909-B1,O0001909,P00109,warehouse,2026-02-18,handover,final,29.4,1.617
I00215639,O0056849-B1,O0056849,P00095,warehouse,2026-02-01,handover,final,3.33,0.1832
I00051186,O0013483-B1,O0013483,P00808,warehouse,2026-02-18,handover,final,2.0,0.11
I00183355,O0048375-B1,O0048375,P00486,warehouse,2026-02-23,handover,final,0.99,0.0544
I00054392,O0014324-B1,O0014324,P00042,warehouse,2026-02-27,handover,final,1.42,0.0781
I00205577,O0054215-B1,O0054215,P00780,warehouse,2026-02-03,handover,final,0.99,0.0544
I00058259,O0015356-B1,O0015356,P00568,warehouse,2026-02-04,handover,final,0.99,0.0544
I00032751,O0008633-B1,O0008633,P00729,warehouse,2026-02-06,handover,final,0.99,0.0544
I00163161,O0043038-B1,O0043038,P00063,warehouse,2026-02-23,handover,final,0.99,0.0544
I00150889,O0039819-B1,O0039819,P00729,cross_border,2026-02-22,handover,final,12.31,0.677
I00167695,O0044216-B2,O0044216,P00677,warehouse,2026-02-16,handover,final,3.85,0.2118
I00091649,O0024099-B1,O0024099,P00243,warehouse,2026-02-14,handover,final,1.57,0.0864
I00056158,O0014805-B1,O0014805,P00096,warehouse,2026-02-22,handover,final,3.96,0.2178
R00206253,O0054392-B1,O0054392,P00291,cross_border,2026-03-01,handover_return,final,-138.27,-2.5
I00143360,O0037774-B1,O0037774,P00779,merchant_shipped,2026-02-19,handover,final,5.1,0.2805
I00175573,O0046325-B2,O0046325,P00762,warehouse,2026-02-22,handover,final,1.85,0.1018
I00132288,O0034838-B1,O0034838,P00088,warehouse,2026-02-15,handover,final,0.99,0.0544
I00211799,O0055811-B1,O0055811,P00173,warehouse,2026-02-24,handover,final,1.38,0.0759
I00042588,O0011233-B1,O0011233,P00654,warehouse,2026-02-04,handover,final,1.98,0.1089
I00125880,O0033143-B1,O0033143,P00554,warehouse,2026-02-19,handover,final,6.09,0.3349
I00014459,O0003804-B1,O0003804,P00393,warehouse,2026-02-26,handover,final,2.73,0.1502
I00073908,O0019498-B1,O0019498,P00046,cross_border,2026-02-23,handover,final,14.51,0.798
I00067882,O0017866-B1,O0017866,P00844,warehouse,2026-02-15,handover,final,0.99,0.0544
I00052934,O0013946-B1,O0013946,P00596,warehouse,2026-02-14,handover,final,4.48,0.2464
I00055251,O0014560-B1,O0014560,P00188,warehouse,2026-02-15,handover,final,1.54,0.0847
I00054328,O0014304-B2,O0014304,P00277,warehouse,2026-02-16,handover,final,4.9,0.2695
I00175592,O0046332-B1,O0046332,P00675,warehouse,2026-02-10,handover,final,2.57,0.1414
I00198546,O0052361-B1,O0052361,P00814,warehouse,2026-02-24,handover,final,1.1,0.0605
C00130545,O0034378-B1,O0034378,P00759,warehouse,2026-02-26,handover,corrected,3.02,0.1661
I00086803,O0022868-B2,O0022868,P00014,warehouse,2026-02-04,handover,final,1.83,0.1006
I00021969,O0005809-B1,O0005809,P00407,cross_border,2026-02-04,handover,final,4.15,0.2282
I00148955,O0039287-B1,O0039287,P00499,warehouse,2026-02-22,handover,final,0.99,0.0544
I00012378,O0003250-B2,O0003250,P00415,warehouse,2026-02-17,handover,final,0.99,0.0544
I00098134,O0025812-B2,O0025812,P00068,warehouse,2026-02-25,handover,final,7.12,0.3916
I00199335,O0052573-B1,O0052573,P00449,warehouse,2026-02-06,handover,final,1.33,0.0732
C00165002,O0043497-B2,O0043497,P00026,warehouse,2026-02-15,handover,corrected,2.75,0.1512
I00009256,O0002425-B1,O0002425,P00042,warehouse,2026-02-14,handover,final,2.21,0.1216
I00177720,O0046916-B1,O0046916,P00210,warehouse,2026-02-14,handover,final,0.99,0.0544
I00015151,O0003973-B1,O0003973,P00763,warehouse,2026-02-20,handover,final,0.99,0.0544
I00028865,O0007618-B1,O0007618,P00089,merchant_shipped,2026-02-26,handover,final,85.82,2.5
I00055643,O0014671-B3,O0014671,P00764,warehouse,2026-02-06,handover,final,0.99,0.0544
I00003357,O0000872-B1,O0000872,P00611,warehouse,2026-02-07,handover,final,0.99,0.0544
I00148692,O0039229-B1,O0039229,P00478,warehouse,2026-02-18,handover,final,5.09,0.2799
I00044405,O0011715-B1,O0011715,P00629,warehouse,2026-02-27,handover,final,11.31,0.622
I00053092,O0013988-B1,O0013988,P00546,warehouse,2026-02-18,handover,final,9.82,0.5401
I00162127,O0042782-B1,O0042782,P00639,cross_border,2026-02-09,handover,final,7.52,0.4136
I00217507,O0057337-B1,O0057337,P00581,warehouse,2026-02-17,handover,final,1.28,0.0704
I00225176,O0059435-B1,O0059435,P00088,warehouse,2026-02-22,handover,final,9.69,0.5329
I00001383,O0000373-B2,O0000373,P00733,warehouse,2026-02-15,handover,final,1.67,0.0918
I00147837,O0038988-B1,O0038988,P00303,cross_border,2026-02-12,handover,final,0.99,0.0544
I00019385,O0005100-B1,O0005100,P00516,warehouse,2026-02-01,handover,final,1.34,0.0737
I00082718,O0021805-B1,O0021805,P00656,retail,2026-02-23,handover,final,4.84,0.2662
I00051959,O0013687-B1,O0013687,P00161,warehouse,2026-02-11,handover,final,3.99,0.2194
I00122713,O0032282-B1,O0032282,P00821,warehouse,2026-02-24,handover,final,3.83,0.2106
I00181967,O0048025-B2,O0048025,P00338,retail,2026-02-23,handover,final,3.54,0.1947
I00012582,O0003307-B1,O0003307,P00759,warehouse,2026-02-11,handover,final,1.05,0.0578
I00195528,O0051574-B1,O0051574,P00197,warehouse,2026-02-03,handover,final,6.18,0.3399
I00106388,O0027949-B1,O0027949,P00699,warehouse,2026-02-07,handover,final,4.33,0.2382
I00173982,O0045889-B1,O0045889,P00065,merchant_shipped,2026-02-26,handover,final,3.64,0.2002
I00221923,O0058542-B1,O0058542,P00553,warehouse,2026-02-12,handover,final,5.31,0.292
I00167032,O0044037-B2,O0044037,P00539,warehouse,2026-02-21,handover,final,0.99,0.0544
I00051939,O0013683-B1,O0013683,P00693,warehouse,2026-02-09,handover,final,5.87,0.3229
I00008726,O0002286-B1,O0002286,P00128,warehouse,2026-02-13,handover,final,2.16,0.1188
I00223372,O0058947-B1,O0058947,P00240,cross_border,2026-02-24,handover,final,7.22,0.3971
I00094983,O0024993-B1,O0024993,P00734,warehouse,2026-02-23,handover,final,3.2,0.176
C00044247,O0011667-B1,O0011667,P00052,warehouse,2026-02-16,handover,corrected,3.81,0.2096
I00004822,O0001255-B1,O0001255,P00570,warehouse,2026-02-22,handover,final,0.99,0.0544
I00182918,O0048272-B2,O0048272,P00508,warehouse,2026-02-04,handover,final,12.5,0.6875
I00158621,O0041848-B1,O0041848,P00247,warehouse,2026-02-08,handover,final,2.14,0.1177
I00071612,O0018890-B1,O0018890,P00174,warehouse,2026-02-26,handover,final,0.99,0.0544
I00023761,O0006275-B1,O0006275,P00446,warehouse,2026-02-26,handover,final,1.82,0.1001
I00098767,O0025978-B1,O0025978,P00235,warehouse,2026-02-06,handover,final,1.15,0.0632
I00186122,O0049067-B1,O0049067,P00315,warehouse,2026-02-24,handover,final,7.4,0.407
I00125040,O0032925-B1,O0032925,P00782,warehouse,2026-02-15,handover,final,1.77,0.0974
I00106100,O0027873-B1,O0027873,P00676,warehouse,2026-02-11,handover,final,0.99,0.0544
I00111478,O0029317-B1,O0029317,P00248,warehouse,2026-02-19,handover,final,4.58,0.2519
I00083368,O0021978-B1,O0021978,P00420,warehouse,2026-02-20,handover,final,0.99,0.0544
I00067811,O0017845-B1,O0017845,P00657,warehouse,2026-02-21,handover,final,1.34,0.0737
I00181753,O0047970-B1,O0047970,P00335,warehouse,2026-02-11,handover,final,1.88,0.1034
I00151334,O0039926-B1,O0039926,P00067,retail,2026-02-08,handover,final,0.99,0.0544
I00162455,O0042866-B2,O0042866,P00142,warehouse,2026-02-07,handover,final,1.16,0.0638
I00087029,O0022922-B1,O0022922,P00490,warehouse,2026-02-05,handover,final,0.99,0.0544
I00096374,O0025360-B1,O0025360,P00580,warehouse,2026-02-20,handover,final,9.5,0.5225
I00099494,O0026168-B1,O0026168,P00172,warehouse,2026-02-15,handover,final,1.23,0.0676
I00213872,O0056367-B1,O0056367,P00283,merchant_shipped,2026-02-07,handover,final,26.19,1.4404
I00141425,O0037281-B1,O0037281,P00520,cross_border,2026-02-17,handover,final,20.16,1.1088
I00116103,O0030540-B1,O0030540,P00409,warehouse,2026-02-14,handover,final,1.72,0.0946
I00205047,O0054074-B1,O0054074,P00535,warehouse,2026-02-28,handover,final,20.27,1.1148
I00177685,O0046906-B1,O0046906,P00233,warehouse,2026-02-22,handover,final,1.56,0.0858
I00049581,O0013088-B1,O0013088,P00719,cross_border,2026-02-12,handover,final,10.93,0.6012
I00203096,O0053545-B1,O0053545,P00700,retail,2026-02-15,handover,final,2.58,0.1419
I00192116,O0050660-B1,O0050660,P00059,warehouse,2026-02-08,handover,final,0.99,0.0544
I00170472,O0044948-B1,O0044948,P00820,warehouse,2026-02-02,handover,final,2.17,0.1194
I00118364,O0031157-B1,O0031157,P00175,merchant_shipped,2026-02-21,handover,final,33.63,1.8497
I00096023,O0025279-B1,O0025279,P00068,warehouse,2026-02-16,handover,final,10.96,0.6028
I00066911,O0017606-B1,O0017606,P00485,warehouse,2026-02-09,handover,final,3.57,0.1964
I00035534,O0009409-B1,O0009409,P00297,warehouse,2026-02-04,handover,final,0.99,0.0544
I00185545,O0048918-B1,O0048918,P00093,warehouse,2026-02-19,handover,final,0.99,0.0544
C00139911,O0036873-B2,O0036873,P00372,warehouse,2026-02-26,handover,corrected,0.8,0.044
I00185868,O0049001-B1,O0049001,P00794,cross_border,2026-02-03,handover,final,10.58,0.5819
I00058637,O0015447-B2,O0015447,P00087,warehouse,2026-02-15,handover,final,0.99,0.0544
I00065585,O0017252-B1,O0017252,P00372,warehouse,2026-02-06,handover,final,0.99,0.0544
I00036424,O0009645-B1,O0009645,P00358,warehouse,2026-02-24,handover,final,1.56,0.0858
I00167253,O0044103-B1,O0044103,P00464,warehouse,2026-02-24,handover,final,2.52,0.1386
I00036721,O0009714-B1,O0009714,P00385,warehouse,2026-02-14,handover,final,1.77,0.0974
I00167460,O0044154-B2,O0044154,P00431,warehouse,2026-03-01,handover,final,0.99,0.0544
I00068846,O0018122-B1,O0018122,P00326,warehouse,2026-02-02,handover,final,15.17,0.8344
C00021370,O0005652-B1,O0005652,P00588,retail,2026-02-07,handover,corrected,1.45,0.0798
I00120062,O0031596-B2,O0031596,P00797,warehouse,2026-02-18,handover,final,6.84,0.3762
I00188303,O0049664-B1,O0049664,P00166,warehouse,2026-02-16,handover,final,5.37,0.2954
I00220990,O0058274-B1,O0058274,P00338,warehouse,2026-02-08,handover,final,4.32,0.2376
I00086435,O0022769-B1,O0022769,P00439,warehouse,2026-02-14,handover,final,2.24,0.1232
I00081362,O0021458-B1,O0021458,P00452,warehouse,2026-02-19,handover,final,1.1,0.0605
I00008729,O0002286-B1,O0002286,P00128,warehouse,2026-02-13,handover,final,2.99,0.1645
I00044130,O0011639-B1,O0011639,P00294,warehouse,2026-02-15,handover,final,0.99,0.0544
I00220345,O0058104-B1,O0058104,P00252,warehouse,2026-02-23,handover,final,0.99,0.0544
I00030453,O0008049-B1,O0008049,P00765,warehouse,2026-02-21,handover,final,0.99,0.0544
I00156897,O0041401-B1,O0041401,P00562,warehouse,2026-02-03,handover,final,2.85,0.1568
I00022847,O0006052-B1,O0006052,P00139,warehouse,2026-02-19,handover,final,4.86,0.2673
I00207055,O0054594-B1,O0054594,P00058,warehouse,2026-02-06,handover,final,0.99,0.0544
I00018738,O0004928-B1,O0004928,P00657,warehouse,2026-02-27,handover,final,3.84,0.2112
I00111282,O0029261-B2,O0029261,P00672,warehouse,2026-02-12,handover,final,23.16,1.2738
I00128567,O0033860-B1,O0033860,P00522,warehouse,2026-02-27,handover,final,0.99,0.0544
I00184695,O0048709-B1,O0048709,P00604,warehouse,2026-02-12,handover,final,1.85,0.1018
I00180823,O0047729-B3,O0047729,P00344,warehouse,2026-02-24,handover,final,2.84,0.1562
I00021455,O0005679-B1,O0005679,P00370,warehouse,2026-02-27,handover,final,0.99,0.0544
I00107839,O0028342-B1,O0028342,P00683,warehouse,2026-02-11,handover,final,0.99,0.0544
I00029834,O0007883-B1,O0007883,P00057,warehouse,2026-02-08,handover,final,5.72,0.3146
I00018220,O0004801-B1,O0004801,P00527,warehouse,2026-02-20,handover,final,1.37,0.0754
R00110956,O0029176-B1,O0029176,P00392,warehouse,2026-02-16,handover_return,final,-0.99,-0.0544
I00166411,O0043871-B1,O0043871,P00399,warehouse,2026-02-06,handover,final,0.99,0.0544
I00204333,O0053885-B1,O0053885,P00009,warehouse,2026-02-02,handover,final,0.99,0.0544
I00000585,O0000155-B2,O0000155,P00141,warehouse,2026-02-25,handover,final,0.99,0.0544
I00134924,O0035543-B1,O0035543,P00333,warehouse,2026-02-28,handover,final,6.87,0.3778
I00054871,O0014464-B1,O0014464,P00624,warehouse,2026-02-12,handover,final,22.09,1.215
I00048649,O0012822-B1,O0012822,P00358,warehouse,2026-02-22,handover,final,2.78,0.1529
I00076354,O0020138-B1,O0020138,P00435,warehouse,2026-02-18,handover,final,0.99,0.0544
I00165653,O0043668-B1,O0043668,P00229,warehouse,2026-02-18,handover,final,1.83,0.1006
I00033864,O0008949-B1,O0008949,P00042,warehouse,2026-02-17,handover,final,0.99,0.0544
I00208498,O0054953-B1,O0054953,P00781,warehouse,2026-02-27,handover,final,0.99,0.0544
I00007793,O0002032-B1,O0002032,P00252,warehouse,2026-02-06,handover,final,3.53,0.1942
I00067656,O0017798-B1,O0017798,P00274,warehouse,2026-02-05,handover,final,2.07,0.1138
I00053788,O0014164-B1,O0014164,P00501,warehouse,2026-02-16,handover,final,0.99,0.0544
I00204777,O0054003-B1,O0054003,P00125,cross_border,2026-02-28,handover,final,6.42,0.3531
I00019013,O0005006-B1,O0005006,P00165,warehouse,2026-02-17,handover,final,4.02,0.2211
I00105176,O0027631-B1,O0027631,P00659,warehouse,2026-02-07,handover,final,2.45,0.1348
I00069129,O0018200-B1,O0018200,P00246,warehouse,2026-02-07,handover,final,0.99,0.0544
I00086090,O0022675-B1,O0022675,P00663,warehouse,2026-02-28,handover,final,0.99,0.0544
I00170195,O0044882-B1,O0044882,P00600,warehouse,2026-02-07,handover,final,1.03,0.0566
I00052021,O0013701-B1,O0013701,P00367,warehouse,2026-02-25,handover,final,0.99,0.0544
I00171172,O0045147-B1,O0045147,P00001,warehouse,2026-02-12,handover,final,3.6,0.198
C00086632,O0022818-B1,O0022818,P00678,warehouse,2026-02-13,handover,corrected,10.52,0.5786
I00188567,O0049728-B1,O0049728,P00156,retail,2026-02-13,handover,final,5.51,0.303
I00161053,O0042494-B1,O0042494,P00840,warehouse,2026-02-20,handover,final,7.07,0.3889
I00021224,O0005611-B1,O0005611,P00557,cross_border,2026-02-27,handover,final,15.51,0.853
I00213860,O0056363-B1,O0056363,P00614,warehouse,2026-02-13,handover,final,3.11,0.171
I00083455,O0022001-B1,O0022001,P00635,warehouse,2026-02-03,handover,final,1.75,0.0962
I00153009,O0040382-B1,O0040382,P00495,warehouse,2026-02-18,handover,final,5.32,0.2926
I00218586,O0057631-B1,O0057631,P00263,cross_border,2026-02-23,handover,final,0.99,0.0544
I00107411,O0028222-B1,O0028222,P00298,warehouse,2026-02-12,handover,final,1.76,0.0968
I00179484,O0047389-B1,O0047389,P00818,warehouse,2026-02-26,handover,final,0.99,0.0544
I00074438,O0019637-B1,O0019637,P00229,merchant_shipped,2026-02-13,handover,final,1.1,0.0605
I00016421,O0004321-B1,O0004321,P00849,warehouse,2026-02-05,handover,final,1.66,0.0913
I00069900,O0018415-B1,O0018415,P00803,warehouse,2026-02-26,handover,final,0.99,0.0544
I00055045,O0014501-B3,O0014501,P00048,warehouse,2026-02-04,handover,final,0.99,0.0544
I00072747,O0019191-B1,O0019191,P00840,warehouse,2026-02-21,handover,final,1.33,0.0732
I00026068,O0006889-B1,O0006889,P00757,warehouse,2026-02-17,handover,final,0.99,0.0544
I00215641,O0056850-B1,O0056850,P00702,warehouse,2026-02-16,handover,final,2.02,0.1111
I00099761,O0026237-B1,O0026237,P00753,warehouse,2026-02-26,handover,final,0.99,0.0544
I00150494,O0039717-B1,O0039717,P00838,warehouse,2026-02-05,handover,final,7.14,0.3927
I00149460,O0039429-B1,O0039429,P00257,warehouse,2026-02-11,handover,final,1.64,0.0902
I00035147,O0009306-B1,O0009306,P00737,warehouse,2026-02-17,handover,final,29.05,1.5978
I00172477,O0045501-B1,O0045501,P00388,warehouse,2026-02-12,handover,final,2.57,0.1414
I00026387,O0006973-B2,O0006973,P00394,warehouse,2026-02-23,handover,final,2.3,0.1265
I00147004,O0038758-B1,O0038758,P00380,warehouse,2026-02-27,handover,final,23.1,1.2705
I00066634,O0017529-B1,O0017529,P00129,warehouse,2026-02-16,handover,final,0.99,0.0544
I00104238,O0027366-B1,O0027366,P00571,warehouse,2026-02-20,handover,final,6.38,0.3509
I00067955,O0017893-B1,O0017893,P00609,warehouse,2026-02-25,handover,final,34.99,1.9245
I00070920,O0018708-B1,O0018708,P00050,warehouse,2026-02-13,handover,final,6.77,0.3723
I00005030,O0001306-B1,O0001306,P00417,warehouse,2026-02-22,handover,final,28.56,1.5708
I00172320,O0045461-B1,O0045461,P00253,warehouse,2026-02-08,handover,final,124.54,2.5
I00067729,O0017816-B1,O0017816,P00683,warehouse,2026-02-24,handover,final,0.99,0.0544
I00025517,O0006737-B1,O0006737,P00365,warehouse,2026-02-22,handover,final,9.98,0.5489
I00175426,O0046276-B2,O0046276,P00445,warehouse,2026-03-03,handover,final,47.22,2.5
C00002636,O0000694-B1,O0000694,P00461,warehouse,2026-02-19,handover,corrected,0.82,0.0451
I00185759,O0048974-B1,O0048974,P00031,warehouse,2026-02-03,handover,final,4.65,0.2558
R00183347,O0048372-B2,O0048372,P00325,warehouse,2026-02-18,handover_return,final,-0.99,-0.0544
I00070109,O0018479-B1,O0018479,P00305,retail,2026-02-09,handover,final,0.99,0.0544
I00012353,O0003245-B1,O0003245,P00640,warehouse,2026-02-21,handover,final,5.31,0.292
I00134627,O0035476-B1,O0035476,P00413,warehouse,2026-02-18,handover,final,1.28,0.0704
I00220861,O0058238-B1,O0058238,P00324,warehouse,2026-02-11,handover,final,2.86,0.1573
I00205148,O0054100-B1,O0054100,P00820,warehouse,2026-02-08,handover,final,1.18,0.0649
I00206087,O0054344-B2,O0054344,P00199,warehouse,2026-02-20,handover,final,0.99,0.0544
I00168441,O0044401-B2,O0044401,P00650,warehouse,2026-02-13,handover,final,0.99,0.0544
I00214478,O0056526-B1,O0056526,P00702,warehouse,2026-02-09,handover,final,2.32,0.1276
I00162316,O0042832-B1,O0042832,P00764,warehouse,2026-02-09,handover,final,2.66,0.1463
I00003904,O0001012-B1,O0001012,P00412,cross_border,2026-02-07,handover,final,24.55,1.3502
I00213307,O0056205-B1,O0056205,P00111,warehouse,2026-02-19,handover,final,1.33,0.0732
I00156882,O0041397-B1,O0041397,P00075,retail,2026-02-12,handover,final,11.64,0.6402
I00095020,O0025002-B2,O0025002,P00838,warehouse,2026-02-24,handover,final,0.99,0.0544
I00184574,O0048675-B1,O0048675,P00538,warehouse,2026-02-13,handover,final,1.85,0.1018
I00192080,O0050650-B1,O0050650,P00198,warehouse,2026-02-10,handover,final,1.14,0.0627
I00209266,O0055143-B1,O0055143,P00392,warehouse,2026-02-28,handover,final,0.99,0.0544
I00078264,O0020638-B1,O0020638,P00145,warehouse,2026-02-16,handover,final,0.99,0.0544
I00026024,O0006881-B3,O0006881,P00831,warehouse,2026-02-23,handover,final,20.91,1.15
I00116587,O0030671-B1,O0030671,P00092,warehouse,2026-02-02,handover,final,0.99,0.0544
I00192061,O0050645-B1,O0050645,P00659,merchant_shipped,2026-02-16,handover,final,4.18,0.2299
I00137256,O0036165-B1,O0036165,P00336,warehouse,2026-02-28,handover,final,0.99,0.0544
I00093398,O0024572-B1,O0024572,P00665,warehouse,2026-02-09,handover,final,0.99,0.0544
I00131677,O0034671-B1,O0034671,P00044,warehouse,2026-02-13,handover,final,3.96,0.2178
I00011454,O0003000-B1,O0003000,P00114,warehouse,2026-02-03,handover,final,0.99,0.0544
I00131957,O0034748-B1,O0034748,P00715,merchant_shipped,2026-02-08,handover,final,1.01,0.0556
I00125511,O0033039-B1,O0033039,P00295,warehouse,2026-02-27,handover,final,12.93,0.7111
I00013550,O0003549-B1,O0003549,P00232,warehouse,2026-02-28,handover,final,8.1,0.4455
I00198419,O0052331-B1,O0052331,P00509,merchant_shipped,2026-02-20,handover,final,7.8,0.429
I00069118,O0018197-B1,O0018197,P00016,warehouse,2026-02-28,handover,final,0.99,0.0544
I00176210,O0046498-B1,O0046498,P00461,warehouse,2026-02-19,handover,final,0.99,0.0544
I00000692,O0000186-B1,O0000186,P00812,warehouse,2026-02-01,handover,final,2.62,0.1441
I00065660,O0017273-B1,O0017273,P00631,warehouse,2026-02-17,handover,final,1.87,0.1028
I00173398,O0045737-B2,O0045737,P00758,merchant_shipped,2026-02-25,handover,final,22.78,1.2529
C00226429,O0059775-B1,O0059775,P00120,warehouse,2026-02-02,handover,corrected,3.17,0.1744
I00070576,O0018602-B2,O0018602,P00306,warehouse,2026-02-20,handover,final,0.99,0.0544
R00060000,O0015807-B1,O0015807,P00408,warehouse,2026-02-09,handover_return,final,-4.49,-0.247
I00204537,O0053942-B2,O0053942,P00596,warehouse,2026-02-09,handover,final,4.4,0.242
I00114329,O0030067-B1,O0030067,P00530,warehouse,2026-02-26,handover,final,1.71,0.094
C00088646,O0023323-B1,O0023323,P00603,warehouse,2026-02-11,handover,corrected,1.11,0.0611
I00147394,O0038869-B1,O0038869,P00696,cross_border,2026-02-02,handover,final,2.99,0.1645
I00020883,O0005515-B1,O0005515,P00618,warehouse,2026-02-08,handover,final,1.08,0.0594
I00021878,O0005787-B1,O0005787,P00435,cross_border,2026-02-10,handover,final,29.5,1.6225
I00119348,O0031427-B1,O0031427,P00033,retail,2026-02-03,handover,final,1.95,0.1072
I00218606,O0057636-B1,O0057636,P00838,warehouse,2026-02-14,handover,final,7.01,0.3856
I00143260,O0037749-B1,O0037749,P00758,warehouse,2026-02-02,handover,final,0.99,0.0544
I00174431,O0046019-B1,O0046019,P00262,merchant_shipped,2026-02-16,handover,final,14.49,0.797
I00052210,O0013752-B1,O0013752,P00189,warehouse,2026-02-17,handover,final,5.36,0.2948
I00221400,O0058389-B1,O0058389,P00421,retail,2026-02-19,handover,final,1.8,0.099
I00010079,O0002656-B3,O0002656,P00548,warehouse,2026-02-12,handover,final,11.75,0.6462
I00085373,O0022490-B1,O0022490,P00505,cross_border,2026-02-04,handover,final,6.34,0.3487
I00105257,O0027653-B1,O0027653,P00845,warehouse,2026-02-25,handover,final,0.99,0.0544
I00054226,O0014278-B2,O0014278,P00451,warehouse,2026-02-14,handover,final,2.09,0.115
I00205086,O0054086-B2,O0054086,P00703,warehouse,2026-02-04,handover,final,1.49,0.082
I00195919,O0051689-B1,O0051689,P00651,retail,2026-02-14,handover,final,0.99,0.0544
I00044767,O0011819-B1,O0011819,P00033,warehouse,2026-02-03,handover,final,1.95,0.1072
I00166216,O0043814-B1,O0043814,P00506,warehouse,2026-02-23,handover,final,4.67,0.2568
I00070812,O0018672-B1,O0018672,P00825,merchant_shipped,2026-02-01,handover,final,0.99,0.0544
I00208174,O0054879-B1,O0054879,P00509,warehouse,2026-02-18,handover,final,0.99,0.0544
I00088827,O0023369-B1,O0023369,P00641,warehouse,2026-02-08,handover,final,4.08,0.2244
I00002145,O0000562-B1,O0000562,P00136,warehouse,2026-02-19,handover,final,22.91,1.2601
I00006482,O0001688-B1,O0001688,P00579,warehouse,2026-02-13,handover,final,0.99,0.0544
